participant_id	species	sex
sub-128514	Mus musculus	M
sub-128515	Mus musculus	M
sub-128516	Mus musculus	M
sub-147463	Mus musculus	F
sub-147465	Mus musculus	F
sub-152414	Mus musculus	M
sub-152417	Mus musculus	M
sub-152419	Mus musculus	F
sub-156130	Mus musculus	F
sub-156131	Mus musculus	F
sub-216300	Mus musculus	M
sub-216301	Mus musculus	M
sub-225757	Mus musculus	M
sub-225758	Mus musculus	M
sub-225759	Mus musculus	M
sub-258412	Mus musculus	F
sub-258414	Mus musculus	M
sub-258416	Mus musculus	M
sub-258419	Mus musculus	F
sub-259112	Mus musculus	M
sub-268947	Mus musculus	F
sub-268951	Mus musculus	F
sub-273853	Mus musculus	M
sub-273855	Mus musculus	M
sub-273858	Mus musculus	F
